Date,Dressing Tandoor,Tandoori,Spl Leg,Boneless,Full Leg,Wings,Boiler,Egg
29/09/24,0,4.3,12,0,0,2,0,0
30/09/24,0,7.1,8,5,1.1,2,0,0
01/10/24,0,5.8,5,3,0,0,0,150
02/10/24,0,11.6,15,4,2,0,0,0
03/10/24,0,8.6,10.9,4,0,3,0,0
04/10/24,0,6,0,0,0,2,0,150
05/10/24,0,5.75,3.15,5,0,0,0,0
06/10/24,0,9.2,10,4,0,1,3,0
07/10/24,0,0,3,2,1,0,0,0
08/10/24,0,5.6,8,3,1,0,0,0
09/10/24,0,0,0,0,0,0,0,150
10/10/24,0,10.3,5,6,2,0,0,0
11/10/24,0,7.7,8,4,0,0,0,0
12/10/24,0,15.4,10,3,1,0,0,150
13/10/24,0,13,8,5,2,0,0,0
14/10/24,0,16,20,6,3,3,0,150
15/10/24,0,0,3,4,0,3,0,0
16/10/24,0,5.5,12,4,0,0,0,0
17/10/24,0,15.6,15,6,1,2,0,150
18/10/24,0,8.4,10,6,2,0,0,0
19/10/24,0,15.9,15,6,0,1,0,150
20/10/24,0,13,15,10,1,3,0,0
21/10/24,0,9,8,6,0,1,0,90
22/10/24,0,10.9,12,2,1,0,0,0
23/10/24,0,5.5,8,3,0,1,0,0
24/10/24,0,5,8,5,0,2,0,90
25/10/24,0,16.78,8,5,1,0,0,0
26/10/24,0,12,15,4,0,2,0,150
27/10/24,0,10.6,5,5,2,2,0,0
28/10/24,0,0,5,4,0,3,0,0
29/10/24,0,4.9,3,3,0,2,0,0
30/10/24,0,10.2,12,4,2,2,0,150
31/10/24,0,9,15,4,0,3,0,0
01/11/24,0,5.2,10,5,2,2,0,0
02/11/24,0,14.8,15,6,1,2,0,150
03/11/24,0,3.1,5,3,,2,0,0
04/11/24,0,4.4,5,6,1.9,0,0,90
05/11/24,0,0,5,2,0,0,0,0
06/11/24,0,9.9,8,4,0,0,0,150
07/11/24,0,7.45,10,5,0,2,0,0
08/11/24,0,11,20,3,2,0,0,0
09/11/24,0,9.3,15,6,0,0,0,90
10/11/24,0,0,3,8,,2,3.55,0
11/11/24,0,11,18,8,3.1,2,0,150
12/11/24,0,4.5,0,5,0,3,0,0
13/11/24,0,10.4,12,8,0,3,0,210
14/11/24,0,5.7,12.1,10,0,2,0,0
15/11/24,0,4.3,15,8,0,3,0,0
16/11/24,0,10.65,15,5,1,0,0,210
17/11/24,0,13.1,15,8,0,3,0,0
18/11/24,0,4.9,12.2,5,1.2,0,2.95,0
19/11/24,0,0,3,6,0,3,0,150
20/11/24,0,10.4,15,8,1.1,0,0,0
21/11/24,0,11,8,0,0,3,0,150
22/11/24,0,4.3,15,4,0,0,0,0
23/11/24,0,17.6,25,10,3.1,3,3.8,0
24/11/24,0,11.9,15,10,0,3,0,210
25/11/24,0,9.6,10.2,6,,0,0,0
26/11/24,0,5.65,5,5,0,0,0,0
27/11/24,0,12.6,9.7,8,2.3,3,0,0
28/11/24,0,4.95,8,4,0,0,0,210
29/11/24,0,5.9,12,5,2,3,0,0
30/11/24,0,9.6,18.2,5,0,0,0,0
01/12/24,0,16.1,20,12,2.2,3,3.65,210
02/12/24,0,8.8,15,8,1,0,0,0
03/12/24,0,4.9,10,4,0,0,0,0
04/12/24,0,10.7,8,6,1,0,0,0
05/12/24,0,8.2,5,4,2.3,0,0,210
06/12/24,0,4.4,12,5,,3,1,
07/12/24,0,11.6,15,8,2,5,0,150
08/12/24,0,11,15,8,1,0,3.15,0
09/12/24,0,4.8,8,8,0,3,0,0
10/12/24,0,0,3.3,6,0,3,0,0
11/12/24,0,10.2,15,6,2.1,2,0,0
12/12/24,0,0,10,8,0,0,0,0
13/12/24,0,10.7,10,3,0,0,0,0
14/12/24,0,12.38,15.3,5,2.3,3,0,0
15/12/24,0,7.5,6,5,2.36,2,3.25,0
16/12/24,0,0,15,6,2.2,2,0,0
17/12/24,0,5.1,5,3,0,0,0,0
18/12/24,0,15.45,18,8,0,2,0,0
19/12/24,0,0,8,5,2.2,0,0,0
20/12/24,0,9.4,15,6,2,2,0,0
21/12/24,0,19,15.15,5,0,2,0,0
22/12/24,0,17.3,15,6,1.9,0,3.7,0
23/12/24,0,10,15,4,0,2,0,0
24/12/24,0,0,10,8,2,2,0,210
25/12/24,0,21.9,20,8,3,2,0,0
26/12/24,0,16.2,15,8,,0,0,0
27/12/24,0,0,3,5,0,0,0,210
28/12/24,0,0,5,5,0,0,0,0
29/12/24,0,12,10,3,2.3,0,3.8,0
30/12/24,0,46.15,50,15,5.5,5,0,210
31/12/24,0,11.65,10,8,0,3,0,0
01/01/25,0,0,0,0,0,0,0,0
02/01/25,0,0,5,3,0,2,0,0
03/01/25,0,0,15,8,0,3,0,210
04/01/25,0,9.7,0,5,3.1,0,0,
05/01/25,0,17.8,15.1,8,0,2,3.2,
06/01/25,0,0,15,3,0,2,0,150
07/01/25,0,4.6,10,6,2.1,0,0,0
08/01/25,0,0,8.1,5,0,2,0,0
09/01/25,0,22.2,15,6,2.9,2,0,150
10/01/25,0,5.6,12,8,2.1,0,0,0
11/01/25,0,5.52,6.15,8,0,2,0,0
12/01/25,0,10.5,18,6,2.35,2,0,210
13/01/25,0,0,10,3,3,0,0,0
14/01/25,0,5.7,8,2,0,0,0,0
15/01/25,0,4.85,15.2,6,2.2,4,0,0
16/01/25,0,10.25,15.1,5,0,4,3.88,0
17/01/25,0,0,8.1,5,2,2,0,0
18/01/25,0,0,18,8,3.35,2,0,0
19/01/25,0,17.7,6,3,0,2,0,210
20/01/25,0,0,6.1,6,0,2,0,0
21/01/25,0,10.6,10,5,0,3,0,0
22/01/25,0,11.85,12.2,6,0,2.1,0,150
23/01/25,0,7.35,15.2,8,2,4,0,0
24/01/25,0,10,5,6,0,2,0,0
25/01/25,0,0,5.3,4,0,0,0,0
26/01/25,0,10.4,22,8,2.3,4,0,210
27/01/25,0,0,10,6,0,2,3.65,0
28/01/25,0,10,4.2,8,0,0,0,150
29/01/25,0,0,0,0,0,0,0,0
30/01/25,0,9.9,15,8,0,4,0,0
31/01/25,0,9.95,15,8,3.2,2,0,0
01/02/25,0,0,2,3,0,4,0,150
02/02/25,0,8.1,12.2,5,0,0,0,0
03/02/25,0,9.8,10,4,3,0,0,150
04/02/25,0,4.95,5.2,4,0,3,0,0
05/02/25,0,0,3,4,0,2,0,0
06/02/25,0,10,15,5,0,0,0,150
07/02/25,0,0,5,6,3.15,0,0,0
08/02/25,0,10.8,18,5,0,2,0,0
09/02/25,0,0,6,5,0,3,3.9,210
