Date,Tandoor,Boiler,Egg
29/9/2024,131,118,580
30/9/2024,131,118,580
1/10/2024,131,118,580
2/10/2024,131,116,580
3/10/2024,131,116,580
4/10/2024,131,116,560
5/10/2024,131,118,560
6/10/2024,133,118,560
7/10/2024,133,118,560
8/10/2024,133,118,560
9/10/2024,131,114,560
10/10/2024,131,110,560
11/10/2024,131,110,560
12/10/2024,133,116,560
13/10/2024,136,127,560
14/10/2024,138,127,562
15/10/2024,140,127,564
16/10/2024,140,127,564
17/10/2024,140,127,564
18/10/2024,142,129,564
19/10/2024,142,129,564
20/10/2024,142,130,565
21/10/2024,142,130,570
22/10/2024,142,130,575
23/10/2024,142,132,580
24/10/2024,142,132,585
25/10/2024,142,134,585
26/10/2024,144,134,585
27/10/2024,146,136,585
28/10/2024,148,136,580
29/10/2024,148,136,590
30/10/2024,148,136,590
31/10/2024,148,136,606
1/11/2024,148,138,606
2/11/2024,148,144,606
3/11/2024,150,150,606
4/11/2024,150,150,606
5/11/2024,150,146,606
6/11/2024,150,141,611
7/11/2024,148,141,611
8/11/2024,148,141,615
9/11/2024,148,141,615
10/11/2024,148,139,615
11/11/2024,148,139,615
12/11/2024,146,136,615
13/11/2024,142,130,600
14/11/2024,138,124,600
15/11/2024,136,117,600
16/11/2024,136,117,600
17/11/2024,136,117,610
18/11/2024,136,117,610
19/11/2024,136,115,630
20/11/2024,132,115,630
21/11/2024,132,115,630
22/11/2024,130,111,630
23/11/2024,130,113,630
24/11/2024,130,115,640
25/11/2024,130,115,645
26/11/2024,128,115,651
27/11/2024,126,113,651
28/11/2024,124,111,651
29/11/2024,124,111,655
30/11/2024,126,111,655
1/12/2024,128,111,660
2/12/2024,128,111,665
3/12/2024,128,107,675
4/12/2024,128,107,675
5/12/2024,128,107,675
6/12/2024,128,105,675
7/12/2024,126,100,675
8/12/2024,128,102,675
9/12/2024,126,102,675
10/12/2024,126,102,675
11/12/2024,124,102,675
12/12/2024,124,104,675
13/12/2024,126,111,675
14/12/2024,128,123,675
15/12/2024,130,123,675
16/12/2024,130,123,665
17/12/2024,132,121,655
18/12/2024,132,113,645
19/12/2024,132,109,635
20/12/2024,132,109,625
21/12/2024,132,111,625
22/12/2024,132,111,620
23/12/2024,132,111,620
24/12/2024,132,111,620
25/12/2024,132,113,630
26/12/2024,132,115,635
27/12/2024,136,117,635
28/12/2024,138,117,635
29/12/2024,138,117,615
30/12/2024,138,117,595
31/12/2024,138,117,575
1/1/2025,138,117,580
2/1/2025,136,115,580
3/1/2025,132,115,585
4/1/2025,132,117,585
5/1/2025,132,123,570
6/1/2025,132,123,550
7/1/2025,132,124,550
8/1/2025,136,128,550
9/1/2025,136,128,550
10/1/2025,138,130,555
11/1/2025,138,130,555
12/1/2025,138,130,555
13/1/2025,138,128,555
14/1/2025,138,128,540
15/1/2025,138,128,540
16/1/2025,136,128,540
17/1/2025,136,128,540
18/1/2025,136,126,545
19/1/2025,136,126,550
20/1/2025,136,126,550
21/1/2025,136,128,550
22/1/2025,136,130,550
23/1/2025,136,132,550
24/1/2025,136,132,540
25/1/2025,138,132,530
26/1/2025,138,132,530
27/1/2025,138,130,530
28/1/2025,136,128,535
29/1/2025,132,121,540
30/1/2025,130,116,545
31/1/2025,122,107,545
1/2/2025,122,107,550
2/2/2025,122,109,535
3/2/2025,122,109,525
4/2/2025,122,109,525
5/2/2025,122,111,505
6/2/2025,124,111,505
7/2/2025,126,113,500
8/2/2025,126,115,495
9/2/2025,128,115,495
10/2/2025,128,110,495
11/2/2025,128,110,495
12/2/2025,128,110,495
13/2/2025,128,107,495
14/2/2025,128,107,495
15/2/2025,128,107,495
16/2/2025,128,107,495
17/2/2025,128,107,485
18/2/2025,126,103,485
19/2/2025,124,97,480
20/2/2025,122,97,480
21/2/2025,122,92,480
22/2/2025,122,95,480
23/2/2025,122,97,480
24/2/2025,122,97,480
25/2/2025,122,97,480
26/2/2025,122,97,506
27/2/2025,122,97,506
28/2/2025,122,105,510
1/3/2025,124,110,0
2/3/2025,128,113,510
3/3/2025,130,113,490
4/3/2025,130,113,480
5/3/2025,128,113,0
6/3/2025,126,105,0
7/3/2025,124,100,455
8/3/2025,122,90,455
9/3/2025,120,90,455
10/3/2025,120,90,455
11/3/2025,120,90,455
